20200911a,1,Shelby,53
20200911a,2,Troy,38
20200911a,3,Joe,27
20200916a,1,Shelby,83
20200916a,2,Arnold,65
20200916a,3,Joe,49
20200923a,1,Joe,65
20200923a,2,Troy,49
20200923a,3,Damien,43
20200925a,1,John,79
20200925a,2,Andrew,75
20200925a,3,Joe,50
20200928a,1,Jesse,69
20200928a,2,Joe,66
20200928a,3,RoyalGoku,27
20200930a,1,Joe,81
20200930a,2,Shelby,51
20200930a,3,Troy,49
20201007a,1,Troy,43
20201007a,2,Joe,30
20201007a,3,Andrew,24
20201007a,4,George,4
20201007a,5,John,-3
20201007a,6,JJSF,-10
20201023a,1,Raji,45
20201023a,2,Andrew,36
20201023a,3,George,28
20201023a,4,Joe,27
20201023a,5,Troy,14
20201030a,1,Raji,68
20201030a,2,Dave,47
20201030a,3,Joe,35
20201030a,4,Troy,28
20201104a,1,Dave,80
20201104a,2,George,55
20201104a,2,Joe,55
20201104a,4,Troy,35
20201104a,5,Jesse,31
20201113a,1,Dave,0
20201113a,2,Joe,-6
20201113a,3,Troy,-11
20201113a,3,Andrew,-11
20201113a,5,Shelby,-15
20201113a,6,George,-15
20201113b,1,Andrew,72
20201113b,2,Jesse,56
20201113b,3,Dave,42
20201113b,4,Joe,37
20201113b,5,Troy,36
20201120a,1,Jesse,47
20201120a,2,Joe,44
20201120a,3,Troy,36
20201120a,4,George,30
20201120a,5,Raji,14
20201211a,1,Raji,49
20201211a,2,Jeremy,33
20201211a,2,Matt,33
20201211a,4,Troy,25
20201211a,5,Joe,19
20210108a,1,Raji,50
20210108a,2,Troy,44
20210108a,3,George,43
20210108a,4,Joe,27
20210113a,1,Dave,53
20210113a,2,Ruby,46
20210113a,3,Joe,26
20210113a,3,Andrew,26
20210113a,5,Shelby,24
20210115a,1,Joe,55
20210115a,2,George,54
20210115a,3,Troy,52
20210115a,4,John,28
20210115a,5,Dave,15
20210122a,1,Ruby,23
20210122a,2,Dave,23
20210122a,3,Troy,20
20210122a,3,Raji,20
20210122a,5,Joe,7
20210122a,6,Azzam,-1
20210122b,1,George,62
20210122b,2,Dave,56
20210122b,3,Joe,26
20210127a,1,Dave,38
20210127a,2,Ruby,29
20210129a,1,Dave,217
20210129a,2,Ruby,54
20210203a,1,Shelby,51
20210203a,2,Joe,39
20210203a,3,Arnold,34
20210203a,4,Ruby,29
20210203a,5,Dave,19
20210205a,1,Joe,7
20210205a,2,Troy,6
20210205a,3,Dave,5
20210205a,3,George,5
20210205a,5,Ruby,3
20210205a,6,Raji,0
20210205b,1,Raji,42
20210205b,2,Joe,27
20210205b,3,George,21
20210205b,4,Troy,20
20210205b,5,Dave,19
20210212a,1,Dave,46
20210212a,2,Joe,41
20210212a,3,Ruby,39
20210212a,4,Troy,36
20210217a,1,Dave,66
20210217a,2,Joe,54
20210217a,3,Raji,46
20210217a,4,Ruby,33
20210217b,1,Raji,55
20210217b,2,Ruby,45
20210217b,3,Dave,39
20210219a,1,Dave,48
20210219a,2,George,42
20210219a,3,Troy,25
20210219a,4,Raji,21
20210219a,5,Joe,17
20210224a,1,Dave,42
20210224a,2,Karingoh,23
20210224a,3,Raji,19
20210224a,4,Joe,15
20210224a,5,Jesse,15
20210226a,1,George,44
20210226a,2,Andrew,37
20210226a,3,Troy,32
20210226a,4,Joe,31
20210303a,1,George,49
20210303a,2,Andrew,43
20210303a,3,Joe,35
20210303a,4,Troy,29
20210303a,5,Jesse,14
20210324a,1,George,45
20210324a,2,Raji,42
20210324a,3,Joe,40
20210324a,4,Troy,34
20210324a,5,Dave,33
20210326a,1,Joe,72
20210326a,2,Troy,58
20210326a,3,George,52
20210331a,1,Dave,71
20210331a,2,Ruby,33
20210331a,3,Joe,29
20210402a,1,Dave,53
20210402a,2,Ruby,52
20210402a,3,Joe,36
20210402a,4,Jesse,20
20210407a,1,George,56
20210407a,2,Joe,32
20210407a,3,Dave,30
20210407a,4,Troy,27
20210407a,5,Jesse,18
20210409a,1,Troy,21
20210409a,2,Joe,18
20210409a,3,Dave,15
20210409a,4,Shelby,12
20210409a,4,Jesse,12
20210409a,6,Raji,7
20210414a,1,Dave,73
20210414a,2,Raji,46
20210414a,3,Joe,44
20210414a,4,Troy,33
20210421a,1,Dave,2
20210421a,2,Raji,1
20210421b,1,Dave,2
20210421b,2,Raji,1
20210421c,1,Raji,2
20210421c,2,Dave,1
20210421d,1,Raji,45
20210421d,2,Joe,43
20210421d,3,Dave,16
20210421e,1,Dave,67
20210421e,2,Raji,45
20210421e,3,Joe,39
20210423a,1,Raji,41
20210423a,2,Dave,33
20210423a,3,Jesse,31
20210423a,4,Joe,29
20210430a,1,Dave,50
20210430a,2,Troy,45
20210430a,3,Jesse,45
20210430a,4,Joe,29
20210430b,1,Dave,30
20210430b,2,Troy,21
20210430b,3,Joe,11
20210430b,4,Jesse,8
20210505a,1,George,66
20210505a,2,Raji,56
20210505a,3,Andrew,53
20210505a,4,Joe,25
20210512a,1,Andrew,56
20210512a,2,George,43
20210512a,3,Raji,37
20210512a,4,Dave,32
20210512a,5,Troy,23
20210512a,6,Joe,9
20210514a,1,Raji,23
20210514a,2,Dave,10
20210514a,3,Jesse,0
20210514a,3,Troy,0
20210514b,1,Raji,66
20210514b,2,Dave,47
20210514b,3,Jesse,40
20210519a,1,Joe,58
20210519a,2,Raji,54
20210519a,3,Dave,46
20210519b,1,Dave,53
20210519b,2,Raji,49
20210519b,3,Joe,39
20210521a,1,Dave,63
20210521a,2,Troy,42
20210521a,3,Ruby,22
20210521a,4,Joe,18
20210521a,5,Matt,14
20210521a,6,Raji,8
20210521b,1,Ruby,42
20210521b,2,Matt,38
20210521b,3,Raji,37
20210521b,4,Dave,22
20210526a,1,Dave,22
20210526a,2,Joe,21
20210526a,3,Raji,18
20210526a,4,Azzam,14
20210526a,5,George,13
20210526a,6,Matt,-4
20210602a,1,Raji,45
20210602a,2,Dave,36
20210602a,3,George,31
20210602a,4,Joe,27
20210602a,5,Matt,17
20210604a,1,Troy,50
20210604a,2,Dave,43
20210604a,3,Brian,20
20210604a,4,Joe,13
20210604a,5,Matt,13
20210609a,1,Dave,60
20210609a,2,Troy,29
20210609a,3,Joe,15
20210609a,4,Austin,6
20210611a,1,Dave,49
20210611a,2,Jesse,49
20210611a,3,Azzam,45
20210611a,4,Joe,43
20210611a,5,Austin,43
20210611a,6,Troy,23
20210611b,1,Matt,39
20210611b,2,Dave,29
20210611b,3,Joe,21
20210616a,1,Raji,40
20210616a,2,Azzam,31
20210616a,3,Dave,26
20210616b,1,Raji,60
20210616b,2,Dave,42
20210616b,3,Azzam,23
20210623a,1,Dave,24
20210623a,2,Austin,13
20210623a,2,Raji,13
20210623a,2,Joe,13
20210623a,5,Sara,10
20210623a,6,Troy,7
20210625a,1,George,41
20210625a,2,Matt,31
20210625a,3,Raji,30
20210625a,4,Jesse,13
20210625a,4,Joe,13
20210630a,1,Matt,54
20210630a,2,Troy,49
20210630a,3,Raji,47
20210630a,4,Dave,46
20210630a,5,Joe,33
20210630b,1,Matt,41
20210630b,2,Dave,41
20210630b,3,Raji,39
20210630b,4,Joe,33
20210630b,5,Austin,26
20210707a,1,Raji,75
20210707a,2,Matt,42
20210707b,1,Raji,38
20210707b,2,Matt,15
20210714a,1,Joe,36
20210714a,2,Dave,35
20210714a,3,Matt,26
20210714a,4,George,24
20210714a,5,Jesse,17
20210716a,1,Dave,50
20210716a,2,Raji,39
20210716a,3,Matt,31
20210716a,4,Troy,19
20210716b,1,Raji,29
20210716b,2,Matt,26
20210716b,3,Dave,21
20210716b,4,Troy,12
20210721a,1,Joe,30
20210721a,2,Austin,29
20210721a,3,Raji,26
20210721a,4,Dave,9
20210723a,1,Raji,32
20210723a,2,Austin,27
20210723a,3,Dave,23
20210723a,4,Joe,18
20210723a,4,Matt,18
20210723a,6,Jesse,8
20210723b,1,Raji,66
20210723b,2,Jesse,65
20210723b,3,Matt,42
20210723b,4,Joe,34
20210728a,1,Dave,59
20210728a,2,Joe,45
20210728a,3,Matt,39
20210728a,4,Andrew,38
20210728b,1,Arnold,56
20210728b,2,George,53
20210728b,3,Troy,40
20210728c,1,Dave,73
20210728c,2,Arnold,45
20210728c,3,Joe,35
20210728c,4,Austin,30
20210728c,5,Matt,24
20210730a,1,Troy,58
20210730a,2,Arnold,36
20210730a,3,Joe,31
20210730a,4,George,26
20210730a,5,Dave,4
20210730b,1,Arnold,36
20210730b,2,Troy,35
20210730b,3,Dave,34
20210730b,4,Joe,27
20210804a,1,Dave,31
20210804a,2,Raji,25
20210804a,3,Joe,16
20210804a,4,Austin,14
20210804b,1,Raji,51
20210804b,2,Azzam,50
20210804b,3,Joe,50
20210804b,4,Dave,44
20210804b,5,Austin,41
20210806a,1,Dave,50
20210806a,2,Troy,45
20210806a,3,Raji,38
20210806a,4,Joe,25
20210806b,1,Dave,54
20210806b,2,Raji,38
20210806b,3,Troy,28
20210806b,4,Joe,0
20210806c,1,George,47
20210806c,2,Austin,46
20210806c,3,Matt,44
20210806d,1,George,39
20210806d,2,Dave,34
20210806d,3,Raji,33
20210806d,4,Joe,17
20210806d,5,Austin,14
20210806d,6,Matt,11
20210811a,1,Raji,55
20210811a,2,Matt,53
20210811a,3,Shelby,45
20210811a,3,Dave,45
20210811a,5,Joe,39
20210811b,1,George,33
20210811b,2,Dave,30
20210811b,3,Matt,27
20210811b,4,Raji,21
20210811b,5,Joe,19
20210811b,6,Shelby,10
20210820a,1,George,32
20210820a,2,Dave,32
20210820a,3,Joe,22
20210820a,4,Troy,20
20210820a,5,Matt,10
20210820b,1,Dave,56
20210820b,2,Matt,53
20210820b,3,Joe,44
20210820b,4,George,36
20210825a,1,Joe,31
20210825a,2,Raji,30
20210825a,3,George,24
20210825a,4,Azzam,21
20210825a,5,Matt,19
20210825a,6,Dave,13
20210825b,1,Raji,47
20210825b,2,Matt,30
20210825b,3,Joe,16
20210825b,4,George,10
20210825b,5,Dave,10
20210825b,6,Azzam,4
20210827a,1,Dave,36
20210827a,2,Raji,31
20210827a,3,Troy,30
20210827a,4,Bri,22
20210827a,5,Matt,17
20210827a,6,Joe,30
20210827b,1,Raji,42
20210827b,2,Bri,36
20210827b,3,Matt,30
20210827b,4,Dave,25
20210827b,5,Joe,21
20210827b,6,Troy,14
20210901a,1,Dave,34
20210901a,2,Troy,33
20210901a,3,Joe,32
20210901a,4,Matt,27
20210901a,5,Raji,21
20210901b,1,Raji,44
20210901b,2,Dave,39
20210901b,3,Joe,35
20210901b,4,Troy,33
20210910a,1,Matt,46
20210910a,2,George,34
20210910a,3,Raji,31
20210910a,3,Dave,31
20210910a,5,Joe,20
20210910b,1,Dave,56
20210910b,2,Joe,42
20210910b,3,George,33
20210910b,4,Matt,32
20210915a,1,Dave,58
20210915a,2,George,47
20210915a,3,Joe,43
20210915a,4,Matt,35
20210915b,1,Matt,42
20210915b,2,George,34
20210915b,3,Dave,28
20210915b,4,Joe,22
20210917a,1,Troy,54
20210917a,2,Joe,37
20210917a,3,Jesse,31
20210917a,4,Matt,30
20210917a,5,Bri,28
20210917a,6,Raji,25